,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,# App Traces
0,0.7384231544130583,0.6539549204472986,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,18.0,10.0,19.247999999999998
1,0.414297108314732,0.44732781425633694,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,10.0,0.0
2,0.4216716200834826,0.6173470351673328,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0
3,0.9926737864098523,0.4911876278259305,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0
4,0.3643623211759949,0.556330369055283,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0
5,0.16401989706670972,0.3449531996579901,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,19.0,2.0,194.256
6,0.7293756390110049,0.6436870365187475,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,2.0,0.0
7,0.12906578144200642,0.7312809501686937,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,12.0,0.0
8,0.023894615789799012,0.014734775174690351,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0
9,0.703104487539478,0.4052998914175445,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,13.0,0.0
10,0.32960688678592165,0.2151806109624329,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,11.0,0.0
11,0.8468798612049709,0.8207830579686552,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,13.0,11.495999999999999
12,0.8303331598856484,0.05468208211147174,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,2.0,0.0
13,0.5261757620654197,0.988195560125205,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,16.0,1.0,0.0
14,0.15927026786546294,0.9288896219191317,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,6.924
15,0.8851211417724232,0.12369677347595742,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0
16,0.40055539155736863,0.9008239215719679,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,9.0,10.0,0.0
17,0.09283584695043967,0.8424729595454307,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0,14.0,416.736
18,0.8377636995620716,0.18509547972671536,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0
19,0.16304707661490914,0.6239539260881044,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,16.727999999999998
20,0.8583543116622797,0.6506860336820132,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0
21,0.8198147545585124,0.0676156789109027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,11.0,288.96
22,0.020600295261144264,0.9930190022976538,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0
23,0.8397089148240408,0.7993469473093038,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11.0,6.0,53.52
24,0.7406891646394737,0.5833461809346601,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,19.0,1.0,50.388
25,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,0.874517695701496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
27,0.7614034102704256,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
28,0.6441765786923791,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
